rank,country,overall,government_pillar,technology_sector_pillar,data_infrastructure_pillar
1,United States of America,84.8,86.04,81.02,87.32
2,Singapore,81.97,90.4,66.19,89.32
3,United Kingdom,78.57,82.5,68.8,84.42
4,Finland,77.37,88.34,60.36,83.39
5,Canada,77.07,85.3,64.73,81.17
6,France,76.07,84.03,60.4,83.8
7,Republic of Korea,75.65,87.55,54.36,85.02
8,Germany,75.26,80.78,63.28,81.72
9,Japan,75.08,82.76,56.85,85.61
10,Netherlands,74.47,78.9,61.96,82.55
11,Denmark,73.91,84.11,59.98,77.65
12,Australia,73.89,83.34,52.57,85.75
13,Norway,72.71,81.77,54.97,81.4
14,Sweden,72.55,74.7,62.71,80.26
15,Austria,72.37,77.69,56.43,82.98
16,China,70.94,77.32,60.76,74.75
17,Estonia,70.86,80.54,52.52,79.54
18,United Arab Emirates,70.42,78.32,56.67,76.28
19,Taiwan,70.25,75.33,54.58,80.85
20,Ireland,69.82,71.51,56.96,81.0
21,Iceland,69.59,76.21,52.78,79.8
22,Luxembourg,69.41,83.11,46.51,78.6
23,Malaysia,68.71,79.99,54.13,72.0
24,Switzerland,68.57,57.33,62.96,85.42
25,Portugal,68.28,80.48,50.95,73.42
26,Italy,67.63,76.61,50.98,75.29
27,Spain,67.47,72.86,50.96,78.6
28,Belgium,67.28,73.09,56.02,72.74
29,Saudi Arabia,67.04,78.71,49.59,72.83
30,Israel,65.46,53.68,66.29,76.42
31,Czechia,65.17,72.25,47.72,75.55
32,Brazil,63.7,72.44,45.08,73.57
33,Malta,63.64,80.74,40.89,69.31
34,Qatar,63.59,69.64,44.31,76.81
35,Lithuania,63.33,75.31,43.7,70.99
36,Poland,63.1,69.79,46.84,72.66
37,Thailand,63.03,77.21,41.33,70.55
38,Russian Federation,62.92,74.13,43.38,71.26
39,Slovenia,62.63,71.75,41.86,74.29
40,India,62.58,75.18,49.39,63.17
41,Chile,61.95,74.56,40.91,70.38
42,Indonesia,61.03,76.24,43.48,63.38
43,Cyprus,60.84,69.39,42.04,71.09
44,Slovakia,60.73,67.7,40.6,73.9
45,Hungary,60.66,69.96,42.2,69.82
46,Uruguay,60.57,74.4,35.32,71.99
47,Türkiye,60.51,75.08,42.32,64.13
48,Latvia,60.3,72.07,38.57,70.27
49,New Zealand,60.18,51.85,47.05,81.66
50,Oman,58.94,69.35,37.71,69.76
51,Bulgaria,58.64,66.04,38.17,71.73
52,Greece,57.95,55.92,48.37,69.56
53,Colombia,57.85,74.98,35.28,63.3
54,Argentina,57.72,70.31,35.27,67.59
55,Jordan,56.85,67.56,40.62,62.36
56,Bahrain,56.13,57.96,39.24,71.19
57,Serbia,55.57,74.29,37.13,55.3
58,Peru,54.87,70.15,32.29,62.18
59,Viet Nam,54.48,69.04,37.82,56.58
60,Ukraine,53.29,68.93,36.18,54.75
61,Mauritius,53.27,69.82,30.63,59.35
62,Egypt,52.69,68.19,40.11,49.77
63,Liechtenstein,52.63,41.38,47.78,68.75
64,Romania,52.32,51.42,39.23,66.3
65,Philippines,51.98,65.43,34.38,56.13
66,Dominican Republic,50.71,68.07,25.34,58.73
67,Monaco,50.5,41.75,39.97,69.8
68,Mexico,50.37,43.08,39.55,68.49
69,Kuwait,49.86,38.14,40.58,70.85
70,Croatia,49.34,42.25,39.35,66.42
71,Costa Rica,49.12,53.41,33.2,60.76
72,Kazakhstan,48.56,48.56,30.97,66.13
73,Azerbaijan,48.15,55.86,30.77,57.82
74,Brunei Darussalam,48.1,39.57,41.86,62.87
75,San Marino,48.08,37.11,44.21,62.94
76,Lebanon,47.62,50.56,36.99,55.31
77,South Africa,47.28,37.82,40.22,63.79
78,Montenegro,47.15,40.21,35.53,65.7
79,Nauru,46.75,38.19,38.54,63.5
80,Andorra,46.25,38.82,35.04,64.9
81,Tunisia,46.07,48.31,38.47,51.44
82,Bangladesh,46.04,57.96,26.07,54.1
83,North Macedonia,45.4,39.55,33.89,62.77
84,Rwanda,45.39,67.82,27.87,40.48
85,Armenia,45.22,43.5,33.58,58.57
86,Panama,43.91,38.33,33.26,60.15
87,Uzbekistan,43.79,49.07,24.8,57.49
88,Morocco,43.34,37.54,35.69,56.79
89,Albania,43.26,42.53,31.97,55.28
90,Republic of Moldova,42.97,42.69,28.21,58.02
91,Senegal,42.58,59.65,27.67,40.43
92,Pakistan,42.2,43.0,34.07,49.53
93,Bahamas,42.14,34.49,31.43,60.51
94,Iran (Islamic Republic of),42.07,31.56,38.77,55.88
95,Sri Lanka,41.89,42.05,33.02,50.6
96,Fiji,41.57,37.78,35.12,51.8
97,Benin,41.37,61.38,24.46,38.27
98,Jamaica,41.32,48.01,28.41,47.53
99,Georgia,41.27,41.96,30.33,51.5
100,Ecuador,40.84,36.13,27.82,58.57
101,Kenya,40.19,40.03,28.95,51.58
102,Barbados,40.13,33.53,32.87,54.0
103,Nigeria,39.88,44.94,24.49,50.21
104,Trinidad and Tobago,39.44,32.7,32.25,53.38
105,Antigua and Barbuda,39.41,33.33,27.56,57.34
106,Saint Kitts and Nevis,39.23,31.71,28.09,57.9
107,Belarus,39.2,30.95,32.28,54.38
108,Tonga,39.01,35.37,33.52,48.14
109,Mongolia,38.99,35.83,27.71,53.43
110,Botswana,38.84,34.82,29.2,52.5
111,Tajikistan,38.78,53.18,20.41,42.77
112,Seychelles,38.11,36.44,19.5,58.37
113,Tuvalu,37.45,29.27,34.01,49.08
114,Bhutan,36.88,36.81,24.31,49.52
115,Paraguay,36.85,37.45,24.32,48.79
116,Guyana,36.79,30.62,27.19,52.58
117,Bosnia and Herzegovina,36.49,27.92,31.68,49.86
118,Saint Lucia,36.46,30.37,27.95,51.08
119,Cabo Verde,36.3,36.68,27.24,44.98
120,Algeria,35.99,30.1,30.56,47.3
121,Guatemala,35.76,29.55,24.94,52.78
122,Marshall Islands,35.7,30.25,32.26,44.6
123,Cuba,35.52,35.32,27.09,44.15
124,Suriname,35.52,28.27,26.85,51.43
125,Namibia,35.37,32.02,28.3,45.8
126,Bolivia (Plurinational State of),35.25,28.47,26.66,50.63
127,Dominica,34.82,27.97,24.51,51.97
128,Grenada,34.63,27.77,25.48,50.65
129,Belize,34.24,23.44,29.09,50.19
130,Saint Vincent and the Grenadines,34.13,30.53,24.4,47.47
131,Kyrgyzstan,34.1,33.53,22.86,45.9
132,Uganda,33.44,38.06,20.96,41.3
133,Iraq,33.4,28.86,29.07,42.26
134,State of Palestine,33.14,21.15,31.9,46.37
135,Gabon,33.09,25.12,27.67,46.47
136,Lao People's Democratic Republic,33.05,28.39,25.81,44.96
137,United Republic of Tanzania,32.86,35.46,20.71,42.42
138,Côte D'Ivoire,32.78,34.33,20.28,43.73
139,Honduras,32.63,25.75,30.14,42.01
140,Ethiopia,32.59,37.29,20.35,40.11
141,Ghana,32.58,34.66,23.23,39.87
142,El Salvador,32.58,23.7,26.31,47.72
143,Zambia,32.36,32.32,20.33,44.42
144,Vanuatu,31.91,26.19,25.23,44.32
145,Cambodia,31.88,27.93,22.53,45.17
146,Maldives,31.71,31.71,20.79,42.63
147,Samoa,31.66,27.52,22.85,44.61
148,Turkmenistan,31.17,20.05,30.51,42.94
149,Myanmar,30.91,21.63,27.98,43.14
150,Nepal,30.77,31.04,24.21,37.06
